proposition,dominant_topic,topic_name,clean
"Il faut arrêter de manger des produits espagnols, pourtant dans l'UE, qui sont sulfatés à mort",1,Agriculture biologique,arrêter manger espagnol pourtant ue sulfater mort
Il faut réduire la quantité de sucre dans les produits emballés,2,Produits transformés,réduire quantité sucre emballer
Il faut supprimer tout produit contenant de l'huile de palme et autres ravageurs de la planète,2,Produits transformés,supprimer contenir huile palme ravageur planète
Il faut éduquer nos enfants à l'utilisation de produits durables ,8,Alimentation des enfants,éduquer enfant utilisation durable
Il faut que le prix des produits alimentaires baisse pour permettre même aux plus démunis de se nourrir convenablement tous les jours,7,Circuit court,prix alimentaire baisse permettre démuni nourrir convenablement jour
Il faut enseigner la permaculture dans les écoles,8,Alimentation des enfants,enseigner permaculture école
"Il faut pénaliser ou boycotter les industriels qui ne respectent pas l’environnement, ni la santé des consommateurs",1,Agriculture biologique,pénaliser boycotter industriel respecter lenvironnement santé consommateur
Il faut réduire la consommation de viande,0,Consommation Viande,réduire consommation viande
Il faut supprimer tous les aliments transformés des rayons et ne vendre que des produits bruts en vrac,6,Emballage alimentaire,supprimer aliment transformer rayon vendre brut vrac
Il faut le plus possible faire appel aux fournisseurs et agriculteurs locaux d'où produits moins chers et plus frais,7,Circuit court,possible appel fournisseur agriculteur local produire frais
Il faut rendre le prix des fromages à la coupe plus abordable,7,Circuit court,rendre prix fromage coupe abordable
Il faut que dans la période de reconversion biologique de deux ans les produits soient vendus aux mêmes tarifs que le bio,1,Agriculture biologique,période reconversion biologique an vendre tarif bio
Il faut les même règles sur les pesticides et les produits phytosanitaire en Europe,1,Agriculture biologique,règle pesticide phytosanitaire europe
"Il faut taxer au maximum les produits nocifs pour la santé , mal cultivés....",2,Produits transformés,taxer maximum nocif santé mal cultivé
Il faut que les prix soient plus raisonnables,7,Circuit court,prix raisonnable
Il faut arrêter de laver les légumes sur les étals ,6,Emballage alimentaire,arrêter laver légume étal
Il faut augmenter la TVA applicable sur les produits transformés,9,Rémunération des agriculteurs,augmenter tva applicable transformer
"Il faut interdire ou modifier les aliments contenants du sucre, puis dextrose, puis glucose....",2,Produits transformés,interdire modifier aliment contenant sucre dextrose glucose
Il faut dire que le végétarisme n'est pas la mode. Manger de la viande est la mode des pays (trop) riches. Il faut promouvoir le végétarisme,0,Consommation Viande,végétarisme mode manger viande mode pays riches promouvoir végétarisme
"Il faut éduquer, à l'école, les enfants dès le plus jeune âge (en profiter pour parler de l'environnement, tri sélectif, gaspillage ...)",8,Alimentation des enfants,éduquer école enfant jeune âge profiter parler environnement tri sélectif gaspillage
Il faut sensibiliser les enfants dès leur plus jeune âge à une alimentation seine et équilibrée ,8,Alimentation des enfants,sensibiliser enfant jeune âge alimentation sein équilibré
Il faut éduquer nos enfants dès l’ecole pour ne pas se laisser berner par les sirènes des pubs et du marketing qui créent de faux besoins,8,Alimentation des enfants,éduquer enfant lecole laisser berner sirène pub marketing créer faux besoin
Il faut arrêter de croire que le bio est meilleur,1,Agriculture biologique,arrêter croire bio meilleur
"Il faut rendre abordables des produits ""sains"", travailler sur les différentes filières afin ""d'éliminer les producteurs lointains et sales""",7,Circuit court,rendre abordable sain travailler filière éliminer producteur lointain sale
Il ne faut pas importer tant que la production locale n'est pas épuisée,1,Agriculture biologique,importer production local épuiser
"Il faut proposer des repas que les enfants ont l'habitude de manger chez eux, mais les revisiter avec des aliments équilibrés",8,Alimentation des enfants,proposer repas enfant habitude manger revisiter aliment équilibré
Il faut faire revenir les semences paysannes,1,Agriculture biologique,revenir semence paysan
"Il faut stopper les importations, mêmes européennes",1,Agriculture biologique,stopper importation européen
Il faut apprendre à contrôler nos pulsions pour ne pas succomber aux tentations illusoires oppressantes créées par les marques.,5,Gaspillage alimentaire,apprendre contrôler pulsion succomber tentation illusoire oppressant créer marque
Il faut soutenir les maraîchers locaux et les marchés locaux des communes environnantes ,7,Circuit court,soutenir maraîcher local marché local commune environnant
Il faut limiter dans les supermarchés le choix excessif des produits alimentaires qui incitent au gaspillage et la surconsommation,5,Gaspillage alimentaire,limiter supermarché choix excessif alimentaire inciter gaspillage surconsommation
Il faut des cours simples de nutrition à l'école et en maternité (pour papa aussi...),8,Alimentation des enfants,cours simple nutrition école maternité papa
Il faut arrêter les produits tout fait... pas toujours aussi équilibrés qu’on veut bien le dire,4,Habitude de consommation alimentaire,arrêter équilibré quon vouloir
"Il faut afficher ce qu'il y a derrière les produits (local/importé, fait maison/industriel...)  pour justifier leur coût et être transparent",2,Produits transformés,afficher localimporté maisonindustriel justifier coût transparent
Il faut faire se rencontrer les producteurs et les consommateurs localement,5,Gaspillage alimentaire,rencontrer producteur consommateur localement
Il faut mieux former les agriculteurs à des modes de production plus vertueux,1,Agriculture biologique,mieux former agriculteur mode production vertueux
Il faut de meilleurs repas en cantine scolaire pour une éducation des jeunes et la participation active de la grande distribution.,8,Alimentation des enfants,meilleur repa cantine scolaire éducation jeune participation actif grand distribution
"Il faut remettre les abattoirs de proximité avec des règles bien stricts, pour éviter le stress des animaux destinés à l'abattoir.",0,Consommation Viande,remettre abattoir proximité règle strict éviter stress animal destiner abattoir
Il faut supprimer tous les conservateurs et adjuvants inutiles,2,Produits transformés,supprimer conservateur adjuvant inutile
"Il faut un vrai logo 100% bio ""FRANCE BIO"". Beaucoup trop de supercheries",1,Agriculture biologique,vrai logo bio france bio supercherie
Il faut essayer de bannir tous les emballages en plastique pour les boissons et l'alimentation,6,Emballage alimentaire,essayer bannir emballage plastique boisson alimentation
Il faut limiter les inscriptions sur les packaging et avoir un système de référentiel-logo commun sur TOUS les produits,2,Produits transformés,limiter inscription packaging système référentiellogo commun
"Il faut sortir de notre pays les deux grandes multinationales imposées à l'agriculture conventionnelle, elles nous tue.",1,Agriculture biologique,sortir pays grand multinationale imposer agriculture conventionnel taire
Il faut modifier le taux de TVA sur les produits alimentaires :de 0% à 25% en fonction de la qualité des produits ,9,Rémunération des agriculteurs,modifier taux tva alimentaire fonction qualité
"Il faut supprimer le suremballage et encourager les gens à amener leur recipients pour par exemple acheter les oeufs, les boissons.",6,Emballage alimentaire,supprimer suremballage encourager amener recipient exemple acheter oeuf boisson
"Il faut obliger les multinationales à réduire leurs marges pour mieux rémunérer les producteurs, et valoriser les productions responsables",7,Circuit court,obliger multinationale réduire marge mieux rémunérer producteur valoriser production responsable
"Il faut manger de tout, surtout des produits frais, moins de conserves possible ",4,Habitude de consommation alimentaire,manger frais conserve possible
Il faut apprendre dès la maternelle l'équilibre alimentaire sans perte et à re-cuisiner les produits de la veille,8,Alimentation des enfants,apprendre maternel équilibre alimentaire perte recuisiner veille
"Il faut dès le plus jeune âge apprendre à bien manger en développant de vrais cours sur le sujet à l'école (saisonnalité, goût, cuisine...)",8,Alimentation des enfants,jeune âge apprendre manger développant vrai cours école saisonnalité goût cuisine
